,Title,Published_date,views,likes,comments,Month
98,Scraping Data from a Real Website | Web Scraping in Python,2023-07-11,429375,7865,314,Jul
99,SQL Beginner to Advanced in One Hour | CareerFoundry Webinar,2023-07-06,214317,6343,115,Jul
100,Find and Find_All | Web Scraping in Python,2023-07-04,58088,1542,28,Jul
101,500k Livestream!!,2023-06-28,6257,385,24,Jun
102,BeautifulSoup + Requests | Web Scraping in Python,2023-06-27,128121,2423,57,Jun
103,Inspecting Web Pages with HTML | Web Scraping in Python,2023-06-20,59990,1526,35,Jun
104,Best Places to Find Datasets for Your Projects,2023-06-13,124829,3471,75,Jun
105,Exploratory Data Analysis in Pandas | Python Pandas Tutorials,2023-06-06,128660,3055,187,Jun
106,Data Analyst Q/A Livestream | May Livestream | Ask Me Anything!,2023-05-30,10239,366,21,May
107,What is Microsoft Fabric? | New Data Analytics Platform!,2023-05-29,221712,4660,141,May
108,Data Cleaning in Pandas | Python Pandas Tutorials,2023-05-23,287186,7287,377,May
109,The Ultimate Data Analytics Career Plan for 2023 | CareerFoundry Webinar,2023-05-16,58411,1882,52,May
110,State of AI in Analytics | Will AI be the End of Data Analysts?,2023-05-15,45764,1371,378,May
111,Google Bard Got An Upgrade! + Google's New AI Announcements!,2023-05-12,33337,804,80,May
112,Creating Visualizations using Pandas Library | Python Pandas Tutorials,2023-05-09,62724,1440,38,May
113,Merging DataFrames in Pandas | Python Pandas Tutorials,2023-05-02,97465,2190,60,May
114,Data Analyst Q/A Livestream | April Livestream | Ask Me Anything!,2023-04-27,10294,341,27,Apr
115,How to Integrate ChatGPT in Jupyter Notebooks for Free!,2023-04-25,55680,1163,54,Apr
116,7 Ways to Use ChatGPT for Analytics | Webinar,2023-04-18,38952,1081,34,Apr
117,Google Business Intelligence Professional Certification Review,2023-04-18,42226,1184,71,Apr
118,Google Advanced Data Analytics Professional Certificate First Look | Is it Worth it?,2023-04-10,147825,4225,385,Apr
119,Group By and Aggregate Functions in Pandas | Python Pandas Tutorials,2023-04-04,77520,1949,107,Apr
120,Top 5 Biggest Mistakes Beginner Data Analysts Make,2023-03-28,38964,1776,82,Mar
121,Indexes in Pandas | Python Pandas Tutorials,2023-03-21,51448,1211,36,Mar
122,Create the Perfect Data Analyst Resume | Free Templates!,2023-03-14,184461,5314,230,Mar
123,Filtering Columns and Rows in Pandas | Python Pandas Tutorials,2023-03-07,82798,1778,59,Mar
124,Data Analyst Q/A Livestream | March Livestream | Ask Me Anything!,2023-03-02,11182,398,33,Mar
125,Reading in Files in Pandas | Python Pandas Tutorials,2023-02-28,165306,2810,86,Feb
126,Building an Automated File Sorter in File Explorer using Python | Python Projects for Beginners,2023-02-21,59353,1341,83,Feb
127,ChatGPT for Data Analysts | Best Use Cases + Analyzing a Dataset,2023-02-14,443406,8305,224,Feb
128,FREE Data Analyst Bootcamp!!,2023-02-07,1382426,38010,1496,Feb
129,How to Become a Data Analyst in 2023 (Completely FREE!),2023-01-31,1136533,38915,1109,Jan
130,Live Portfolio Review with Alex the Analyst!  | Live Webinar,2023-01-25,17575,631,23,Jan
131,DIY Data Analyst Curriculum using Udemy (Under $75),2023-01-24,38826,1419,119,Jan
132,Reviewing Maven Analytics Free Portfolio Website,2023-01-17,24907,770,48,Jan
133,5 Study Hacks for Beginner Data Analysts! | Live Webinar,2023-01-16,46221,1359,36,Jan
134,DIY Data Analyst Curriculum using Coursera in 2023,2023-01-10,62686,2960,221,Jan
135,Building a BMI Calculator with Python | Python Projects for Beginners,2023-01-03,73344,1543,76,Jan
136,"Reading, Writing, and Appending Files in Python | Python for Beginners",2022-12-27,7531,241,12,Dec
137,Why I Quit my 125k Analytics Job,2022-12-20,157364,8718,859,Dec
138,Data Analyst Q/A Livestream + Special Guest! | December Livestream,2022-12-17,5074,168,16,Dec
139,Converting Data Types in Python | Python for Beginners,2022-12-13,41220,1148,33,Dec
140,Functions in Python | Python for Beginners,2022-12-06,54671,1382,31,Dec
141,While Loops in Python | Python for Beginners,2022-11-29,53592,1446,27,Nov
142,For Loops in Python | Python for Beginners,2022-11-22,53869,1288,24,Nov
143,Data Analyst Q/A Livestream | November Livestream,2022-11-16,6279,201,18,Nov
144,If Else Statements in Python | Python for Beginners,2022-11-15,46139,1231,27,Nov
145,"Comparison, Logical, and Membership Operators in Python | Python for Beginners",2022-11-08,49122,1284,23,Nov
146,Data Types in Python | Python for Beginners,2022-11-01,106772,2530,67,Nov
147,Data Analyst Q/A Livestream | October Livestream,2022-10-31,5711,182,11,Oct
148,Variables in Python | Python for Beginners,2022-10-25,105333,2328,62,Oct
149,300k Livestream! | Giveaways for People in Chat | Bring Your Wine,2022-10-19,5264,244,23,Oct
150,Installing Jupyter Notebooks/Anaconda | Python for Beginners,2022-10-18,343065,5287,148,Oct
151,Interviewing Tina Huang | Fellow YouTuber and Data Enthusiast,2022-10-13,9516,336,21,Oct
152,Interviewing Luke Barousse | Arch-Nemesis and Fellow YouTuber,2022-10-11,7363,329,31,Oct
153,When Best Friends Work Together (ft. Luke Barousse),2022-10-04,15708,684,84,Oct
154,Data Analyst Live Stream | Riding out Hurricane Ian,2022-10-01,6738,213,14,Oct
155,Full Power BI Guided Project | Microsoft Power BI for Beginners,2022-09-27,412515,7884,424,Sep
156,Popular Visualizations in Power BI | Microsoft Power BI for Beginners,2022-09-20,104798,2455,57,Sep
157,"Guided Portfolio Projects on Coursera | Python, SQL, Excel, Power BI, and Tableau",2022-09-13,57527,2138,95,Sep
158,How to use Bins and Lists in Power BI | Microsoft Power BI for Beginners,2022-09-06,96745,2157,47,Sep
159,How to use Conditional Formatting in Power BI | Microsoft Power BI for Beginners,2022-08-30,152868,2490,56,Aug
160,Top 8 Mistakes Beginner Data Analyst's Make | CareerFoundry Webinar,2022-08-24,76972,2070,76,Aug
161,Interviewing Ken Jee | The Face of Data Science on YouTube,2022-08-23,7173,253,15,Aug
162,CareerFoundry Data Analytics Bootcamp Review | Bootcamp + Intro + Free Course Review,2022-08-16,27166,657,127,Aug
163,How to use Drill Down in Power BI | Microsoft Power BI for Beginners,2022-08-09,187068,3252,74,Aug
164,"Best Courses for Alternative Analyst Jobs | Marketing Analyst, Business Analyst, Financial Analyst",2022-08-02,20188,865,74,Aug
165,250k Subscriber Live Stream!!,2022-07-26,4161,157,11,Jul
166,How to use DAX in Power BI | Microsoft Power BI for Beginners,2022-07-26,192331,3844,164,Jul
167,Tech Layoffs and Hiring Freezes | The Great Resignation | Alex The Analyst Show | Episode 23,2022-07-19,21980,616,123,Jul
168,How to Create and Manage Relationships in Power BI | Microsoft Power BI for Beginners,2022-07-12,237171,4228,104,Jul
169,Machine Learning Specialization on Coursera | Review,2022-07-05,24916,782,63,Jul
170,Meta Marketing Analytics Professional Certificate on Coursera | Review,2022-06-28,35888,930,102,Jun
171,Google's Secret Hiring Platform | Found in the Google Data Analytics Certification,2022-06-21,45609,1646,134,Jun
172,How to use Power Query in Power BI | Microsoft Power BI for Beginners,2022-06-14,330760,5262,97,Jun
173,Automating Crypto Website API Pull Using Python | Data Analyst Project,2022-06-07,66759,1114,102,Jun
174,How to use a Public API | Using a Public API with Python,2022-05-31,43656,1403,72,May
175,How to Install Power BI | Building First Visualization | Microsoft Power BI for Beginners,2022-05-24,499329,8591,267,May
176,MySQL vs Postgresql vs Microsoft SQL Server Management Tools | Which Option is Best?,2022-05-17,137176,2900,275,May
177,Top 3 Tips to Stop Procrastinating to be Successful,2022-05-10,33358,1681,158,May
178,SQL vs NoSQL | What's the Difference?,2022-05-03,59871,1812,67,May
179,Database vs Data Warehouse vs Data Lake | What is the Difference?,2022-04-26,773226,20395,300,Apr
